Wavelength (nm)	Cross section (cm2)
3.0344e+02	3.1336e-20
3.0355e+02	3.1132e-20
3.0366e+02	3.0929e-20
3.0377e+02	3.0726e-20
3.0388e+02	3.0522e-20
3.0399e+02	3.0318e-20
3.0410e+02	3.0135e-20
3.0421e+02	2.9954e-20
3.0432e+02	2.9772e-20
3.0443e+02	2.9590e-20
3.0454e+02	2.9409e-20
3.0465e+02	2.9228e-20
3.0476e+02	2.9046e-20
3.0487e+02	2.8864e-20
3.0498e+02	2.8683e-20
3.0509e+02	2.8502e-20
3.0520e+02	2.8320e-20
3.0531e+02	2.8138e-20
3.0542e+02	2.7957e-20
3.0553e+02	2.7776e-20
3.0564e+02	2.7594e-20
3.0575e+02	2.7413e-20
3.0586e+02	2.7231e-20
3.0597e+02	2.7049e-20
3.0608e+02	2.6880e-20
3.0619e+02	2.6715e-20
3.0630e+02	2.6550e-20
3.0641e+02	2.6385e-20
3.0652e+02	2.6220e-20
3.0663e+02	2.6055e-20
3.0674e+02	2.5890e-20
3.0685e+02	2.5725e-20
3.0696e+02	2.5560e-20
3.0707e+02	2.5395e-20
3.0718e+02	2.5230e-20
3.0729e+02	2.5065e-20
3.0740e+02	2.4900e-20
3.0751e+02	2.4735e-20
3.0762e+02	2.4570e-20
3.0773e+02	2.4405e-20
3.0784e+02	2.4240e-20
3.0795e+02	2.4075e-20
3.0806e+02	2.3919e-20
3.0817e+02	2.3770e-20
3.0828e+02	2.3622e-20
3.0839e+02	2.3474e-20
3.0850e+02	2.3325e-20
