Wavelength (nm)	Cross section (cm2)
2.7471e+02	0.0000e+00
2.7482e+02	0.0000e+00
2.7493e+02	0.0000e+00
2.7505e+02	0.0000e+00
2.7516e+02	0.0000e+00
2.7527e+02	0.0000e+00
2.7538e+02	0.0000e+00
2.7550e+02	0.0000e+00
2.7561e+02	0.0000e+00
2.7572e+02	0.0000e+00
2.7583e+02	0.0000e+00
2.7595e+02	0.0000e+00
2.7606e+02	0.0000e+00
2.7617e+02	0.0000e+00
2.7628e+02	0.0000e+00
2.7639e+02	0.0000e+00
2.7651e+02	0.0000e+00
2.7662e+02	0.0000e+00
2.7673e+02	0.0000e+00
2.7684e+02	0.0000e+00
2.7696e+02	0.0000e+00
2.7707e+02	0.0000e+00
2.7718e+02	0.0000e+00
2.7729e+02	0.0000e+00
2.7740e+02	0.0000e+00
2.7752e+02	0.0000e+00
2.7763e+02	0.0000e+00
2.7774e+02	0.0000e+00
2.7785e+02	0.0000e+00
2.7797e+02	0.0000e+00
2.7808e+02	0.0000e+00
2.7819e+02	0.0000e+00
2.7830e+02	0.0000e+00
2.7841e+02	0.0000e+00
2.7853e+02	0.0000e+00
2.7864e+02	0.0000e+00
2.7875e+02	0.0000e+00
2.7886e+02	0.0000e+00
2.7898e+02	0.0000e+00
2.7909e+02	0.0000e+00
2.7920e+02	0.0000e+00
2.7931e+02	0.0000e+00
2.7942e+02	0.0000e+00
2.7954e+02	0.0000e+00
2.7965e+02	0.0000e+00
2.7976e+02	0.0000e+00
2.7987e+02	0.0000e+00
2.7998e+02	0.0000e+00
2.8010e+02	0.0000e+00
2.8021e+02	0.0000e+00
2.8032e+02	0.0000e+00
2.8043e+02	0.0000e+00
2.8054e+02	0.0000e+00
2.8066e+02	0.0000e+00
2.8077e+02	0.0000e+00
2.8088e+02	0.0000e+00
2.8099e+02	0.0000e+00
2.8110e+02	0.0000e+00
2.8122e+02	0.0000e+00
2.8133e+02	0.0000e+00
2.8144e+02	0.0000e+00
2.8155e+02	0.0000e+00
2.8166e+02	0.0000e+00
2.8178e+02	0.0000e+00
2.8189e+02	0.0000e+00
2.8200e+02	0.0000e+00
2.8211e+02	0.0000e+00
2.8222e+02	0.0000e+00
2.8234e+02	0.0000e+00
2.8245e+02	0.0000e+00
2.8256e+02	0.0000e+00
2.8267e+02	0.0000e+00
2.8278e+02	0.0000e+00
2.8289e+02	0.0000e+00
2.8301e+02	0.0000e+00
2.8312e+02	0.0000e+00
2.8323e+02	0.0000e+00
2.8334e+02	0.0000e+00
2.8345e+02	0.0000e+00
2.8357e+02	0.0000e+00
2.8368e+02	0.0000e+00
2.8379e+02	0.0000e+00
2.8390e+02	0.0000e+00
2.8401e+02	0.0000e+00
2.8412e+02	0.0000e+00
2.8424e+02	0.0000e+00
2.8435e+02	0.0000e+00
2.8446e+02	0.0000e+00
2.8457e+02	0.0000e+00
2.8468e+02	0.0000e+00
2.8479e+02	0.0000e+00
2.8491e+02	0.0000e+00
2.8502e+02	0.0000e+00
2.8513e+02	0.0000e+00
2.8524e+02	0.0000e+00
2.8535e+02	0.0000e+00
2.8546e+02	0.0000e+00
2.8558e+02	0.0000e+00
2.8569e+02	0.0000e+00
2.8580e+02	0.0000e+00
2.8591e+02	0.0000e+00
2.8602e+02	0.0000e+00
2.8613e+02	0.0000e+00
2.8625e+02	0.0000e+00
2.8636e+02	0.0000e+00
2.8647e+02	0.0000e+00
2.8658e+02	0.0000e+00
2.8669e+02	0.0000e+00
2.8680e+02	0.0000e+00
2.8691e+02	0.0000e+00
2.8703e+02	0.0000e+00
2.8714e+02	0.0000e+00
2.8725e+02	0.0000e+00
